000;0001;9999;0005;0015;0010;9999
000;0002;9999;0010;0010;0010;
000;0003;9999;0005;0055;0055;
000;0004;9999;0100;0002;0002;
000;0005;9999;0025;0025;0025;
000;0006;9999;0018;0017;0010;
000;0007;9999;0013;0013;0010;
000;0008;9999;0019;0002;0002;
000;0009;9999;0009;0002;0002;
000;0010;9999;0012;0112;0084;
000;0011;9999;0010;0020;0010;
000;0012;9999;0008;0030;0005;
000;0013;9999;0078;0010;0010;
000;0014;9999;0015;0015;0015;
000;0015;9999;0008;0008;0009;
000;0018;9999;0020;0005;0003;
000;0021;9999;0010;0005;0010;
001;0001;9999;0005;0015;0010;
001;0002;9999;0010;0010;0010;
001;0003;9999;0005;0055;0055;
001;0004;9999;0100;0002;0002;
001;0005;9999;0025;0025;0025;
001;0006;9999;0018;0017;0010;
001;0007;9999;0013;0013;0010;
001;0008;9999;0019;0002;0002;
001;0009;9999;0009;0002;0002;
001;0010;9999;0012;0112;0084;
001;0011;9999;0010;0020;0010;
001;0012;9999;0008;0030;0005;
001;0013;0000;0078;0010;0010;
001;0014;0000;0015;0015;0015;
001;0015;0000;0008;0008;0009;
001;0018;0000;0020;0005;0003;
001;0021;0000;0010;0005;0010;
002;0001;0000;0005;0015;0010;
002;0002;0000;0010;0010;0010;
002;0003;0000;0005;0055;0055;
002;0004;0000;0100;0002;0002;
002;0005;0000;0025;0025;0025;
002;0006;0000;0018;0017;0010;
002;0007;0000;0013;0013;0010;
002;0008;0000;0019;0002;0002;
002;0009;0000;0009;0002;0002;
002;0010;0000;0012;0112;0084;
002;0011;0000;0010;0020;0010;
002;0012;0000;0008;0030;0005;
002;0013;0000;0078;0010;0010;
002;0014;0000;0015;0015;0015;
002;0015;0000;0008;0008;0009;
002;0018;0000;0020;0005;0003;
002;0021;0000;0010;0005;0010;
003;0001;0000;0005;0015;0010;
003;0002;0000;0010;0010;0010;
003;0003;0000;0005;0055;0055;
003;0004;0000;0100;0002;0002;
003;0005;0000;0025;0025;0025;
003;0006;0000;0018;0017;0010;
003;0007;0000;0013;0013;0010;
003;0008;0000;0019;0002;0002;
003;0009;0000;0009;0002;0002;
003;0010;0000;0012;0112;0084;
003;0011;0000;0010;0020;0010;
003;0012;0000;0008;0030;0005;
003;0013;0000;0078;0010;0010;
003;0014;0000;0015;0015;0015;
003;0015;0000;0008;0008;0009;
003;0018;0000;0020;0005;0003;
003;0021;0000;0010;0005;0010;
