003;0018;0025;0020;0005;0003;
003;0021;0125;0010;0005;0010;
002;0007;0032;0013;0013;0010;
003;0013;0009;0078;0010;0010;
002;0014;0068;0015;0015;0015;
000;0001;0003;0005;0015;0010;
001;0002;0248;0010;0010;0010;
003;0011;0007;0010;0020;0010;
000;0006;2006;0018;0017;0010;
003;0010;0088;0012;0112;0084;
001;0006;0012;0018;0017;0010;
001;0012;0321;0008;0030;0005;
000;0013;0018;0078;0010;0010;
002;0021;0010;0010;0005;0010;
000;0009;0001;0009;0002;0002;
001;0014;0014;0015;0015;0015;
003;0004;0008;0100;0002;0002;
001;0010;0072;0012;0112;0084;
003;0008;0032;0019;0002;0002;
000;0011;0020;0010;0020;0010;
