000;0001;0000;0005;0015;0010;
002;0021;0025;0010;0005;0010;
001;0015;0004;0008;0008;0009;
000;0009;0147;0009;0002;0002;
003;0018;0009;0020;0005;0003;
001;0021;0009;0010;0005;0010;
000;0006;0065;0018;0017;0010;
001;0013;0034;0078;0010;0010;
003;0013;0004;0078;0010;0010;
000;0012;0001;0008;0030;0005;
003;0009;0000;0009;0002;0002;
002;0004;0455;0100;0002;0002;
001;0007;0048;0013;0013;0010;
001;0009;0015;0009;0002;0002;
002;0014;0000;0015;0015;0015;
001;0002;0000;0010;0010;0010;
003;0007;0000;0013;0013;0010;
001;0005;0365;0025;0025;0025;
002;0006;0028;0018;0017;0010;
002;0010;0000;0012;0112;0084;
002;0013;0000;0078;0010;0010;
000;0018;0258;0020;0005;0003;
002;0001;0000;0005;0015;0010;
003;0015;0013;0008;0008;0009;
002;0007;0000;0013;0013;0010;
001;0010;0000;0012;0112;0084;
003;0005;0111;0025;0025;0025;
